"cjis_code","COMAR","offense_literal","source","fel_mis","max_term","min_term","type","seriousness","fine"
"1-1108","1","Abuse and Other Offensive
Conduct
Child Abuse--physical, with death,
victim at least 13 years old","CR, §3-
601(b)(2)(ii)","Felony","40Y *","","Person","II",""
"1-1109","1-1","Abuse and Other Offensive
Conduct
Child Abuse--physical, with death,
victim younger than 13 years old","CR, §3-
601(b)(2)(iii)","Felony","LIFE *","","Person","I",""
"","1-2","Abuse and Other Offensive
Conduct
Child Abuse--physical, with death,
previous conviction for child abuse","CR, §3-601(c)(2)","Felony","LIFE *","","Person","I",""
"1-0506","10","Animals, Crimes Against
Use dog in dogfight or for baiting;
arrange dogfight; possess, own, etc.
dog for dogfight or baiting; allow
dogfight or baiting on premises","CR, §10-607","Felony","3Y","","Property","VI","$5,000"
"1-0510","10","Animals, Crimes Against
Use dog in dogfight or for baiting;
arrange dogfight; possess, own, etc.
dog for dogfight or baiting; allow
dogfight or baiting on premises","CR, §10-607","Felony","3Y","","Property","VI","$5,000"
"1-0511","10","Animals, Crimes Against
Use dog in dogfight or for baiting;
arrange dogfight; possess, own, etc.
dog for dogfight or baiting; allow
dogfight or baiting on premises","CR, §10-607","Felony","3Y","","Property","VI","$5,000"
"1-0652","10","Animals, Crimes Against
Use dog in dogfight or for baiting;
arrange dogfight; possess, own, etc.
dog for dogfight or baiting; allow
dogfight or baiting on premises","CR, §10-607","Felony","3Y","","Property","VI","$5,000"
"1-0663","100","Counterfeiting
Counterfeiting any public seal","CR, §8-607(b)","Misd.","10Y","2Y","Property","V",""
"1-0067","101","Counterfeiting
Counterfeiting United States
currency","CR, §8-604","Felony","10Y","","Property","V","$10,000"
"1-0069","101","Counterfeiting
Counterfeiting United States
currency","CR, §8-604","Felony","10Y","","Property","V","$10,000"
"1-2502","102","Counterfeiting
Forgery, counterfeiting, etc.","CR, §8-601(a)","Felony","10Y","","Property","V","$1,000"
"1-1502","102-1","Counterfeiting
Possession of counterfeit items","CR, §8-601(c)(2)","Misd.","3Y","","Property","VII","$1,000"
"1-2500","103","Counterfeiting
Forgery, counterfeiting, pass forged,
etc. of public documents","CR, §8-605(a)","Felony","10Y","2Y","Property","V",""
"1-2504","103","Counterfeiting
Forgery, counterfeiting, pass forged,
etc. of public documents","CR, §8-605(a)","Felony","10Y","2Y","Property","V",""
"1-2501","104","Counterfeiting
Orders, etc., for money or goods","CR, §8-609(b)","Felony","10Y","2Y","Property","V",""
"2-2510","104","Counterfeiting
Orders, etc., for money or goods","CR, §8-609(b)","Felony","10Y","2Y","Property","V",""
"2-2520","104","Counterfeiting
Orders, etc., for money or goods","CR, §8-609(b)","Felony","10Y","2Y","Property","V",""
"1-1386","104-1","Counterfeiting
Trademark counterfeiting, less than
$1,500","CR, §8-611(d)","Misd.","1Y","","Property","VII","$1,000"
"1-1385","105","Counterfeiting
Trademark counterfeiting, $1,500 or
greater","CR, §8-611(c)","Felony","10Y","","Property","V","$10,000"
"1-2513","106","Counterfeiting
Issuing or publishing counterfeit
documents","CR, §8-602","Felony","10Y","","Property","V","$1,000"
"1-2603","107","Counterfeiting
Counterfeit comptroller stamp","CR, §8-608(a)","Misd.","10Y","","Property","V",""
"2-2504","109","Counterfeiting
Falsifying, destroying, concealing,
accessing, etc., public records","CR, §8-606(b)","Misd.","3Y","","Property","VII","$1,000"
"3-2504","109","Counterfeiting
Falsifying, destroying, concealing,
accessing, etc., public records","CR, §8-606(b)","Misd.","3Y","","Property","VII","$1,000"
"5-2504","109","Counterfeiting
Falsifying, destroying, concealing,
accessing, etc., public records","CR, §8-606(b)","Misd.","3Y","","Property","VII","$1,000"
"1-0507","11","Animals, Crimes Against
Cockfight","CR, §10-608(b)","Felony","3Y","","Property","VI","$5,000"
"1-0597","11-1","Animals, Crimes Against
Attending a dogfight or cockfight","CR, §10-605","Misd.","1Y","","Property","VII","$2,500"
"1-0598","11-1","Animals, Crimes Against
Attending a dogfight or cockfight","CR, §10-605","Misd.","1Y","","Property","VII","$2,500"
"1-1698","110","Counterfeiting
Forge, falsify, or counterfeit the
signature of a judge, court officer, or
court employee; or use a document
with forged signature of a court
official","CR, §8-606.1","Misd.","5Y","","Property","VI","$10,000"
"1-1699","110","Counterfeiting
Forge, falsify, or counterfeit the
signature of a judge, court officer, or
court employee; or use a document
with forged signature of a court
official","CR, §8-606.1","Misd.","5Y","","Property","VI","$10,000"
"1-0494","112","Counterfeiting
Possess or issue counterfeit U.S.
currency","CR, §8-604.1","Misd.","3Y","","Property","VII","$1,000"
"2-0035","113","Counterfeiting
Unlawful possession of forged, etc.,
motor vehicle title","CR, §8-603(a)","Misd.","3Y","","Property","VII","$1,000"
"3-2502","114","Counterfeiting
Make, utter, forge, etc. tickets,
coupons, tokens, etc. without the
authority of the person or
corporation issuing, selling, etc.;
assist in making, uttering, forging,
etc. of tickets, coupons, tokens, etc.;
or utter or pass, knowing it to be so
made","CR, §8-612(b)","Misd.","1Y","","Property","VII",""
"3-2510","114","Counterfeiting
Make, utter, forge, etc. tickets,
coupons, tokens, etc. without the
authority of the person or
corporation issuing, selling, etc.;
assist in making, uttering, forging,
etc. of tickets, coupons, tokens, etc.;
or utter or pass, knowing it to be so
made","CR, §8-612(b)","Misd.","1Y","","Property","VII",""
"1-1188","114-1","Credit Card Crimes
Felony credit card crimes, $100,000
or greater","CR, §8-
206(c)(1)(iii)
CR, §8-
207(b)(1)(iii)
CR, §8-
209(b)(1)(iii)","Felony","20Y","","Property","III","$25,000"
"1-1189","114-1","Credit Card Crimes
Felony credit card crimes, $100,000
or greater","CR, §8-
206(c)(1)(iii)
CR, §8-
207(b)(1)(iii)
CR, §8-
209(b)(1)(iii)","Felony","20Y","","Property","III","$25,000"
"1-1193","114-1","Credit Card Crimes
Felony credit card crimes, $100,000
or greater","CR, §8-
206(c)(1)(iii)
CR, §8-
207(b)(1)(iii)
CR, §8-
209(b)(1)(iii)","Felony","20Y","","Property","III","$25,000"
"1-1197","114-1","Credit Card Crimes
Felony credit card crimes, $100,000
or greater","CR, §8-
206(c)(1)(iii)
CR, §8-
207(b)(1)(iii)
CR, §8-
209(b)(1)(iii)","Felony","20Y","","Property","III","$25,000"
"1-1351","114-1","Credit Card Crimes
Felony credit card crimes, $100,000
or greater","CR, §8-
206(c)(1)(iii)
CR, §8-
207(b)(1)(iii)
CR, §8-
209(b)(1)(iii)","Felony","20Y","","Property","III","$25,000"
"1-1355","114-1","Credit Card Crimes
Felony credit card crimes, $100,000
or greater","CR, §8-
206(c)(1)(iii)
CR, §8-
207(b)(1)(iii)
CR, §8-
209(b)(1)(iii)","Felony","20Y","","Property","III","$25,000"
"1-1187","114-2","Credit Card Crimes
Felony credit card crimes, at least
$25,000 but less than $100,000","CR, §8-
206(c)(1)(ii)
CR, §8-
207(b)(1)(ii)
CR, §8-
209(b)(1)(ii)","Felony","10Y","","Property","V","$15,000"
"1-1190","114-2","Credit Card Crimes
Felony credit card crimes, at least
$25,000 but less than $100,000","CR, §8-
206(c)(1)(ii)
CR, §8-
207(b)(1)(ii)
CR, §8-
209(b)(1)(ii)","Felony","10Y","","Property","V","$15,000"
"1-1194","114-2","Credit Card Crimes
Felony credit card crimes, at least
$25,000 but less than $100,000","CR, §8-
206(c)(1)(ii)
CR, §8-
207(b)(1)(ii)
CR, §8-
209(b)(1)(ii)","Felony","10Y","","Property","V","$15,000"
"1-1198","114-2","Credit Card Crimes
Felony credit card crimes, at least
$25,000 but less than $100,000","CR, §8-
206(c)(1)(ii)
CR, §8-
207(b)(1)(ii)
CR, §8-
209(b)(1)(ii)","Felony","10Y","","Property","V","$15,000"
"1-1352","114-2","Credit Card Crimes
Felony credit card crimes, at least
$25,000 but less than $100,000","CR, §8-
206(c)(1)(ii)
CR, §8-
207(b)(1)(ii)
CR, §8-
209(b)(1)(ii)","Felony","10Y","","Property","V","$15,000"
